issueUID,projectName,raw images
DzSHqdPB76-5:4~1,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:1~1,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:4~1,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-3:1~2,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:1~3,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:1~4,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:1~5,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-3:1~6,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-4:2~1,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-4:3~1,1,"20191031_130240_R,20191031_130241_R,20191031_130242_R"
DzSHqdPB76-1:1~1,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-2:3~1,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-2:3~2,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-2:3~3,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-2:3~4,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-3:4~2,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-4:4~1,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-3:3~1,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-3:3~2,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-3:3~3,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-4:4~2,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-4:4~3,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-4:4~4,1,"20191031_130246_R,20191031_130247_R,20191031_130248_R"
DzSHqdPB76-5:9~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-7:10~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-10:12~1,1,"20191031_130506_R,20191031_130507_R,20191031_130508_R"
DzSHqdPB76-14:13~1,1,"20191031_130506_R,20191031_130507_R,20191031_130508_R"
DzSHqdPB76-7:10~2,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:9~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:10~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:10~2,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:10~3,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-9:11~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-9:10~1,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-9:10~2,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:9~2,1,"20191031_130329_R,20191031_130330_R,20191031_130331_R"
DzSHqdPB76-8:8~1,1,"20191031_130337_R,20191031_130338_R,20191031_130339_R"
DzSHqdPB76-8:5~1,1,"20191031_130344_R,20191031_130345_R,20191031_130346_R"
DzSHqdPB76-8:5~2,1,"20191031_130344_R,20191031_130345_R,20191031_130346_R"
DzSHqdPB76-11:4~1,1,"20191031_130437_R,20191031_130438_R,20191031_130439_R"
DzSHqdPB76-7:1~1,1,"20191031_130228_R,20191031_130229_R,20191031_130230_R"
DzSHqdPB76-10:1~1,1,"20191031_130506_R,20191031_130507_R,20191031_130508_R"
